,filtered,pending,labels.verification.hasDachExclusion,hasUnhandledReports,report,language,id,consumer.imageUrl,consumer.displayName,labels.verification.verificationSource,dates.updatedDate,reply.updatedDate,reply.message,reply.publishedDate,consumer.hasImage,consumer.isVerified,location.id,location.urlFormattedName,text,rating,dates.publishedDate,dates.experiencedDate
35581,False,False,False,False,,en,61b25d442b49257fe29b8ff6,,DANA ,invitation,,,,,False,False,480c69f5-bf8f-4578-ac22-bf391038c84f,ashford,"Ordered the joules range patterdale 4 seater and cuddle chair. It was delivered on time I was up stairs working while the men bought it on and put the feet on my husband was making then tea only to find when they have gone that I have three different colour/ style feet on each sofa so I had brown oak thin spindal type legs on the front and on one side of the back I have a light beech square shaped leg and on the other side a dark brown square shaped leg with a bunny pattern on. I called them up and it took five days and three more phone calls for them to get back to me, then I had to send them photos to prove what I meant about the legs.  Now I have to wait until the end of Jan 22 for someone to come out look at the legs and order the correct ones and the arrange for them to come back and fit them on. what a joke.",2,2021-12-09T19:47:16.000Z,
32385,False,False,False,False,,en,67afe65c110f5391fb1d5f85,,Sharon,invitation,,,,,False,False,,,I wanted a gift card for my sister’s birthday.  The woman I spoke with was very efficient in taking care of me.  The entire transaction took all of 10 minutes and my sister got her gift card within hours.  She loves Bluestone Perrenials so she was thrilled for the gift card,5,2025-02-15T02:57:00.000Z,2025-02-07T00:00:00.000Z
12057,False,False,False,False,,en,61077d85f9f487044c4ebf36,,HENRY BOLDEN,invitation,,,"Hi Henry, terribly sorry to hear as this should never be the case. Thanks for bringing it to our attention. We will be looking into the staffing at the store promptly and adjust accordingly. A member of our management team will reach out to you personally to express our gratitude for sharing this feedback with us and apologize for the inconvenience we have caused you albeit not intentional however, we still take full responsibility as your experience is extremely important to us. Thank you for your business. With much gratitude, Customer Care ",2021-08-02T14:28:04.268Z,False,False,5a48af69-5fd7-4d42-83b7-d7827377ee05,peoria,"Nice furniture store, but it was a power struggle with sales people.  Just left a bad taste in our mouths.",2,2021-08-02T05:07:17.000Z,
6608,False,False,False,False,,en,67859d65f7982b7a81dc106c,,Brandy t Huggins,invitation,,,,,False,False,,,Needed a mattress and ordered in less than 10 minutes ,5,2025-01-14T01:10:29.000Z,2025-01-13T00:00:00.000Z
41151,False,False,False,False,,en,67b378b22d022aa8fdd54f0b,,amanda,invitation,,,"Good Morning, 

Thank you so much for taking the time to write us a 5* review. Your feedback is much appreciated. We are really happy to hear that you had a great experience in-store with Mohammed. 

Kind Regards,

Haseeb S 
DFS Customer Support 
",2025-02-18T09:26:16.000Z,False,False,36e224f3-c7e7-476e-af02-08c203e1ed2e,reading,Mohammed was amazing gave some great advice and so pleased with my choice and his recommendations ,5,2025-02-17T19:58:10.000Z,2025-02-17T00:00:00.000Z
11789,False,False,False,False,,en,606ba3fff85d75087049e9a6,,User,invitation,,,"Hello, thank you for bringing this to our attention. Certainly not the experience we would have expected as this is not reflective of our standards and Customer commitment. We are terribly sorry and will look into this matter and reach out to you direct.  Thank you for your business. With much respect, Customer Care",2021-04-06T13:54:53.297Z,False,False,ff46c37c-e834-4dc5-a06a-339f89c65474,chicago-elston,"Was quoted a price over the phone but was billed for a different, higher price. Learned that the quoted price was not including all the pieces I had requested. After paying the increased price, realized the order that had been placed was still incorrect and ended up costing even more.",2,2021-04-05T23:57:51.000Z,
35920,False,False,False,False,,en,64e8c1191486cf05ec46e67d,,Tim Caister,invitation,,,"Good afternoon Tim, 

Thank you for providing us with this feedback. All of our extras are optional and we do like to ensure all customers are aware of the extras available as they may be suitable for you. 

I do apologise if you feel the delivery fee is high, this does include full installation into your room of choice by our 2 man team. We also remove all packaging and dispose of this in a responsible and sustainable way.

Kind Regards,
Holly  M
DFS Central Customer Support ",2023-08-28T13:43:41.000Z,False,False,7a10ba0d-b907-49a1-bd39-39c361d19bfe,new-malden,"Sofa looks good, but the salesperson wanted to add on a whole load of extra costs. Don’t like these hidden costs, and makes me feel that DFS is not a top trader like Next or M&S. delivery is a staggering £100 ! This is outrageous.",2,2023-08-25T16:56:25.000Z,2023-08-17T00:00:00.000Z
38081,False,False,False,False,,en,64d15ec5c4234462868f7023,https://user-images.trustpilot.com/534bbaaa00006400016e2aad/73x73.png,Lisa Hesketh,invitation,,,"Hello Lisa, 

Thank you for writing us a review, we are glad to hear you are happy with the product received. Unfortunately DFS do not assemble beds, this information is listed in the 'product information' section on the website, I do apologise for any confusion caused by this. 

Kind Regards,
Holly M
DFS Central Customer Support",2023-08-08T08:27:11.000Z,True,False,,,"Beautiful bed, super speedy delivery, however, I bought the bed from dfs as my bed was as expensive as a sofa and thought that dfs would build the bed……..clearly I was mistaken, dfs do not build beds, which is very disappointing.  I’ve had to pay someone to build it for me.",3,2023-08-07T23:14:46.000Z,2023-07-30T23:00:00.000Z
32965,False,False,False,False,,en,66b8760e448ad8ccedc707ed,,David McCrone,invitation,,,"Good afternoon David, 

Thank you for taking the time to write to us, please accept our apologies for the poor experience you have faced with DFS, this is certainly not the service we aim to provide. 

Unfortunately, as no order reference number has been provided we are unable to locate your order. However, if you would like to discuss this matter further please do not hesitate to contact our Customer Service Team on 0333 9999 777 and choose option 4. 

Kind Regards,
Holly M
DFS Customer Support",2024-08-11T11:33:50.000Z,False,False,,,"Would be a zero but 1 is minimum. Absolutely appalling customer service. Bought 2 sofa’s which were delivered damaged. DFS came to inspect them and took pictures of 2&3 seater sofas ,both with damage . DFS then phoned to say that I had agreed that the 2 seater was fine (which was not the case) . They offered a very small compensation amount which was not acceptable,then told me that they would take back the sofa’s but would not replace them with the same ones as the new ones might also arrive damaged!! This has been a fight for 5-6 weeks to get a resolution,which is now that DFS will take the sofa’s back and I will be left with no sofa’s for probably 10-12 weeks until I get new ones(which will not be from DFS). Absolutely disgusted with the treatment we have received from a big company. ",1,2024-08-11T10:27:58.000Z,2024-08-11T00:00:00.000Z
1600,False,False,False,False,,en,6564eee29de9e09bb66f6d3e,,Chris Hicks,invitation,,,"Hello Chris! I am sorry to see the 2 star review, and apologize for the frustrating experience. I will advise we have a multitude of options in regards to offering assistance. Whether that be by phone, chat, or email. We do operate within our store hours, so please be aware if you did try contacting us outside of those hours, staff are not available. If you have questions, or are still looking for assistance, pleases let us know at https://www.nfm.com/customer-services/. Have a great day! ",2023-11-29T23:38:34.000Z,False,False,,,Tried to contact someone to help with questions and no one was available.  You need more help.,2,2023-11-27T21:32:50.000Z,2023-11-27T00:00:00.000Z
